,ATNF Period (s),ATNF Pdot,ATNF Spin Frequency (Hz),ATNF Fdot,ATNF DM,ATNF B_surf (G),ATNF B_LC (G),ATNF E_dot (ergs/s),Probability Best,Min freq (MHz),Max freq (MHz),N data flux,Bandwidth fit?,L400 (mJy kpc^2),L1400 (mJy kpc^2),Age (Yr),a,u_a,c,u_c,vb,u_vb,a1,u_a1,a2,u_a2,vc,u_vc,vpeak,u_vpeak,beta,u_beta,SMART,ATNF Period (s) log,ATNF Pdot log,ATNF Spin Frequency (Hz) log,ATNF Fdot log,ATNF DM log,ATNF B_surf (G) log,ATNF B_LC (G) log,ATNF E_dot (ergs/s) log,L400 (mJy kpc^2) log,L1400 (mJy kpc^2) log,Age (Yr) log,vb log,u_vb log,vc log,u_vc log,vpeak log,u_vpeak log
beta,-0.014736439448348576,0.1725807492963837,-0.0734806679380719,0.04240565659396323,0.20057643720018928,0.18751428378066007,0.10108792265875144,-0.013759023139363998,0.1402584822290202,0.23104168114545612,-0.09726957157253904,-0.11459077232406402,0.36266523927513433,0.1235227855957772,0.10593452347190561,-0.0018110470570431125,0.6970569333418715,-0.3447845510044342,-0.199676278158453,-0.19960238091086271,,,,,,,0.07892407410773197,0.2456991786648227,0.12005512759269395,0.12429908986716627,1.0,0.6878682120950749,-0.06757908839497351,0.04809452190150739,0.12312204283734463,-0.04809452190150719,0.20063365135959046,0.16989338187706512,0.09749254671685094,0.048954367530333054,0.14192326610637584,0.027239575857555123,0.18241734526818068,-0.16111316016942015,,,0.41492411753923697,0.5268935712876028,0.20558208080171048,-0.042189066301604135
u_beta,0.1465681444242214,0.07950797908494,-0.16751334750391023,0.043472414551279495,0.29103774240877783,0.09944063405758671,0.10528288914254262,0.008628182921905397,-0.03818094818592168,0.21814206454987725,-0.15267436287964212,-0.3182926763906597,0.20362975813854878,0.1409057393548158,0.1438427031458827,-0.0036248744531961383,0.5684635632407177,-0.18473619271268465,-0.12729099936123583,-0.12724255617332297,,,,,,,0.1889550872889304,0.33047179691867573,0.10852913307943071,0.3460563650162789,0.6878682120950749,1.0,-0.14091584112649205,0.16462724664151648,0.10711521212002663,-0.16462724664151637,0.049517809064324236,0.27608003161055955,0.11332683851702212,0.11603273588797912,-0.040989667172642394,-0.03032737214088978,0.15040561163169514,-0.08653938240545438,,,0.3983424069191188,0.3874121491292416,0.15279433935586406,0.3106279255068533
SMART,0.0059341162210749055,-0.023550313659002866,-0.03045964670648568,0.07910910425464288,-0.2512612662001526,-0.039754437295805745,-0.013657011143772341,0.08579248134268495,-0.16987818701714935,-0.2840114204331841,0.09397272179479857,0.361526652542323,-0.16210199438016681,-0.03359877976431844,-0.01559455092634674,-0.03311348562839132,-0.08198202643531517,-0.0007139002170368995,0.02824711317564528,0.028202003855074115,0.00620916970252154,-0.09731073783444819,0.06629173435219461,0.13678914443279203,-0.18103699113772864,0.07727564703877958,0.11409890308708162,0.15386615077330168,-0.32025586158005415,-0.273059631472672,-0.06757908839497351,-0.14091584112649205,1.0,0.046858373446408794,-0.032441403447829135,-0.046858373446408835,-0.09497193011587492,-0.32289771449982224,-0.01164446209367038,0.024873121962508748,-0.10210479918362134,-0.13683853470668453,-0.20765754395187444,0.06478896410922629,-0.09001140556184327,0.0798323501675232,0.1861914074074089,0.12883068145195392,-0.3381711186277811,-0.13383740485247567
ATNF Period (s) log,0.5155184056380215,0.06251805806717847,-0.7960001844985947,-0.070043241969151,0.15195834971911568,0.17234315378311382,0.0942505667596054,-0.06384881291899416,-0.06564844008063486,0.05349252293478385,-0.013698980334770298,-0.04832787531161858,0.0623548403830971,0.08126548676086211,0.03207689290833802,-0.593396098045509,0.03788656009930903,0.07661300527055019,0.01290765795238684,0.012892665581612547,-0.3526897520686099,-0.04898041450181776,0.21425625533246212,0.05119285460746237,-0.10902252699790495,0.20260752734388196,-0.13552875538312162,-0.1435509598265293,-0.16997409794388021,-0.007566348001166309,0.04809452190150739,0.16462724664151648,0.046858373446408794,1.0,0.7244270171919961,-1.0000000000000002,-0.0722898432670908,0.24526658180019847,0.8506396084177381,0.9807337029633416,-0.5451905650107846,0.22694890391624986,0.1940465558005199,-0.4355141811893382,-0.23914266658275338,-0.04440873196837012,-0.3484923261769018,-0.11167415753274665,-0.17109631990144236,0.15160754022761622
ATNF Pdot log,0.23233919950272314,0.14935712731315917,-0.7236904468474773,0.09460108754290106,0.41336391557578317,0.27434178577195545,0.034009290952105344,0.064479470789955,-0.04530194648138772,0.27396822694174344,0.09980898957444552,-0.030329697276697005,0.0935857475492038,0.09285600580015138,-0.0004719806273651706,-0.6597825433126884,0.06341844316004014,0.027576773596725394,0.007140584721507571,0.007139796395890011,-0.23973725027469608,0.06505796389790561,0.3797457057817519,0.09777977118772958,-0.10497351890103193,0.03880009257814372,-0.0920088979408083,-0.14113005599708967,0.18556985274795287,0.2171020194773182,0.12312204283734463,0.10711521212002663,-0.032441403447829135,0.7244270171919961,1.0,-0.7244270171919954,0.6268603749738368,0.5281081775710531,0.9786523393792874,0.845134421753943,0.18294096168380425,0.2750878153067397,0.3433081221139403,-0.936039965216998,-0.12102795648454787,-0.04186803215870936,-0.18815817269703505,-0.054883116718853486,0.160149686601534,0.0895328801953313
ATNF Spin Frequency (Hz) log,-0.515518405638022,-0.06251805806717856,0.796000184498594,0.07004324196915114,-0.15195834971911545,-0.17234315378311393,-0.09425056675960569,0.06384881291899419,0.06564844008063475,-0.053492522934783605,0.013698980334770357,0.04832787531161858,-0.06235484038309699,-0.08126548676086214,-0.03207689290833802,0.5933960980455085,-0.03788656009930878,-0.07661300527055022,-0.01290765795238684,-0.012892665581612563,0.35268975206860936,0.04898041450181791,-0.21425625533246195,-0.05119285460746227,0.10902252699790492,-0.20260752734388213,0.13552875538312162,0.14355095982652927,0.1699740979438807,0.0075663480011667105,-0.04809452190150719,-0.16462724664151637,-0.046858373446408835,-1.0000000000000002,-0.7244270171919954,1.0,0.07228984326709134,-0.24526658180019814,-0.8506396084177377,-0.9807337029633411,0.5451905650107847,-0.22694890391624994,-0.19404655580051977,0.43551418118933755,0.23914266658275307,0.044408731968370224,0.34849232617690185,0.11167415753274683,0.1710963199014433,-0.15160754022761602
ATNF Fdot log,-0.24442573034886694,0.145245211536424,-0.1540398535813428,0.21795483456412734,0.43198338395876784,0.20180940657329308,-0.05736057499279527,0.1653782105616874,0.00610021144055777,0.3315178245789281,0.1593667402741545,-0.027808666134744333,0.06703161492591564,0.043262799519682135,-0.03673442487084304,-0.283126069632487,0.10708522178211087,-0.07842033806120989,-0.0038447519759688418,-0.0038289429022703085,0.05190958195791875,0.15001266352022075,0.30838107740250525,0.08391299555741544,-0.028771063863469157,-0.1734491085972489,0.04364027091361501,-0.016023765164182555,0.44638385040668643,0.40274927473199845,0.20063365135959046,0.049517809064324236,-0.09497193011587492,-0.0722898432670908,0.6268603749738368,0.07228984326709134,1.0,0.4950191169484832,0.45334910478484375,0.11329348400658548,0.8806613504774138,0.1375116027766068,0.2695112674122948,-0.8609378778629027,0.09549303806573115,-0.01042519590311196,0.15918234306950457,0.07508556588335538,0.3827655736448697,-0.0015372298431388905
ATNF DM log,-0.01929383437168284,0.1215086079710393,-0.3065574284196316,0.012631375872113302,0.8359175190986702,0.18524811892800533,-0.019807966505136648,-0.005907622937490085,0.07036404069287337,0.6621754989254889,-5.4898546861039744e-05,-0.3299562652627778,0.17357909711413846,0.1270802424243493,-0.027370270088922722,-0.3197839604903706,0.05878082326166137,0.06037058713423324,-0.05973486015071115,-0.05971221925543417,-0.1504282025949022,-0.137697209440592,0.16526314126808433,-0.02833125217542724,-0.02213917425293899,0.08641494029194116,-0.18256852130951803,-0.2502464358476928,0.4931151008762916,0.5058928646016962,0.16989338187706512,0.27608003161055955,-0.32289771449982224,0.24526658180019847,0.5281081775710531,-0.24526658180019814,0.4950191169484832,1.0,0.47407000341139954,0.3350947058993044,0.301176864484777,0.49576008102953767,0.5606867843260442,-0.5675509091872387,0.1354062032266139,-0.11520058574160118,-0.15979758678506056,-0.1936254900853669,0.5195281944402688,0.16983730282101264
ATNF B_surf (G) log,0.3311003101648673,0.13255892048079868,-0.7883780190571733,0.05069170139900128,0.35935641372448396,0.26061511499081963,0.05403773486737413,0.030140862723320803,-0.053842637609970906,0.22590331488772894,0.07208681897313149,-0.029356033943414742,0.09005241843179676,0.09495098415206703,0.00921645751570217,-0.6801124799478911,0.04656926144250878,0.05192777003949305,0.009228708751640616,0.009223612477549235,-0.2877911548641155,0.03501578986935535,0.35331374690900724,0.08979015240662386,-0.11249385774859484,0.0899089817631497,-0.11302368749661874,-0.15269913700106394,0.10249805878615866,0.15342812296257483,0.09749254671685094,0.11332683851702212,-0.01164446209367038,0.8506396084177381,0.9786523393792874,-0.8506396084177377,0.45334910478484375,0.47407000341139954,1.0,0.9369557516275746,-0.023018722466701946,0.2786900212009017,0.3216436645657108,-0.8437355404466883,-0.1634779488492803,-0.04514312953158151,-0.2502701498149403,-0.0789262686286422,0.0870684494116444,0.10272454694862417
ATNF B_LC (G) log,0.4661307400366932,0.0908285239407385,-0.8200469685719265,-0.029002722527724734,0.23182908079596817,0.21138593046526638,0.0827236875276785,-0.031238924591289827,-0.06301547410942192,0.12173752339774249,0.01778991462310018,-0.02478425449678101,0.07509880188644928,0.08908048520479396,0.024774024251499736,-0.6471158926852243,0.013280529256804443,0.08821218970334586,0.011862329467822301,0.011850414708378726,-0.34121973899791513,-0.01951283803167503,0.2736384126708791,0.06737817716317109,-0.11422507605419155,0.1679826659268055,-0.13650553643728588,-0.15749120471478678,-0.04070621899518252,0.038711783261593004,0.048954367530333054,0.11603273588797912,0.024873121962508748,0.9807337029633416,0.845134421753943,-0.9807337029633411,0.11329348400658548,0.3350947058993044,0.9369557516275746,1.0,-0.3709229537615396,0.2571293444564561,0.25292170299066785,-0.6029734600715556,-0.21959594699561108,-0.04627527705789183,-0.3272074117637726,-0.11032230702855397,-0.038708280427155156,0.11759468069066328
