Pulsar,ATNF Period (s),ATNF Pdot,ATNF Spin Frequency (Hz),ATNF Fdot,ATNF DM,ATNF B_surf (G),ATNF B_LC (G),ATNF E_dot (ergs/s),ANTF Binary (type),Model,Probability Best,Min freq (MHz),Max freq (MHz),N data flux,Bandwidth fit?,L400 (mJy kpc^2),L1400 (mJy kpc^2),S150 (mJy),u_S150 (mJy),S300 (mJy),u_S300 (mJy),S5000 (mJy),u_S5000 (mJy),S10000 (mJy),u_S10000 (mJy),Age (Yr),a,u_a,c,u_c,vb,u_vb,a1,u_a1,a2,u_a2,vc,u_vc,vpeak,u_vpeak,beta,u_beta,lps_a,lps_u_a,lps_b,lps_u_b,lps_c,lps_u_c,SMART
J0051+0423,0.3547317989,7e-18,2.8190311753864026,-5.56285573746031e-17,13.93,50425365982.95743,2.070795679308539e+22,6.190951658612463e+30,,simple_power_law,0.9391140068798707885,25.0,1360.0,8,False,3.00674674669464,0.7592192848122922,5.65273939826083,1.319603052423645,2.639601100737238,0.4868371063723058,0.11999918252351754,0.04660432877208079,0.056034773931750624,0.0268074373650357,802912313.8551185,-1.0986302631359088,0.1423453153507938,0.0045057670957401935,0.0009701163946624742,,,,,,,,,,,,,,,,,,,True
J0055+5117,2.115171148865356,9.537640511866794e-15,0.472774981134,-2.131817e-15,44.0127,4545097561976.514,3.957013932087085e+26,3.9789102563740492e+31,,simple_power_law,0.72573481735559408623,102.5,1408.0,8,True,21.486445883981716,12.954303222069829,3.911622067328325,3.3221501612711717,2.956446839066611,1.7375784009882227,0.9489910682122122,0.5324280828582856,0.7172578525293782,0.5895341477314255,3513747.924528717,-0.40390265115471347,0.3889095383897667,0.002687528549085321,0.0013452266062250306,,,,,,,,,,,,,,,,,,,False
J0056+4756,0.47203666207644096,3.3284866831837113e-15,2.11847951725,-1.49381e-14,18.1354,1268414667821.4604,1.22737217904212e+24,1.2493363278637691e+33,,simple_power_law,0.78707442858208709335,20.0,408.0,10,True,3.4408993728880044,1.1137912554013616,6.598516843902984,1.0796510223035498,3.5351255401832935,0.5617813177009171,0.2807218738091077,0.1295884669557198,0.15039547359913943,0.08335435729833911,2246957.9456169014,-0.9003803354536306,0.14021637923737706,0.010417215747663001,0.0020793886093733917,,,,,,,,,,,,,,,,,,,False
J0102+6537,1.6791642290642343,5.954922985402521e-15,0.595534363281,-2.11198e-15,65.853,3199886984231.537,1.3938049070044452e+26,4.965424284825048e+31,,simple_power_law,0.65232569598192535754,102.5,1606.0,7,True,18.003513885795474,6.940425829051859,6.075684121958428,1.6510983853641894,3.5854784319517,0.6458079993517938,0.4215657696382517,0.1494184160606585,0.24878103343526867,0.11480359641619418,4467690.319018207,-0.7608812260606999,0.16270668483341816,0.002849609519810342,0.0004261243301863639,,,,,,,,,,,,,,,,,,,False
J0108+6608,1.283659842947923,1.3050932466562642e-14,0.7790225779,-7.9203e-15,30.5482,4141862975816.5815,8.059969906955622e+25,2.4358548930978543e+32,,high_frequency_cut_off_power_law,0.5290951756360381397,65.0,1408.0,9,True,36.77353607282628,3.82439155432138,28.62977115912832,6.408534381355759,11.944764624551276,1.4415962268113034,0.0,0.0,0.0,0.0,1558383.8906106085,-1.1506411614503598,0.20400399017021403,0.01371359086101143,0.0017763026018843041,,,,,,,2184427954.998609,643419931.7554855,,,,,,,,,,,False
J0108+6905,1.0711181098585134,4.809456470078737e-17,0.933603858245,-4.192e-17,61.0617,229676551390.11896,2.596668875931466e+24,1.545053949459661e+30,,simple_power_law,0.97209036173980212237,102.5,1408.0,7,True,5.51063141631774,1.4450309203109066,4.004702241461776,1.4787933408619638,1.9095304428089133,0.36632309753635667,0.09449508683602544,0.07623545910812295,0.045057343624977875,0.046236070129580316,352864039.16488314,-1.0684770586294967,0.3210579236181271,0.0014837570866968214,0.0002370950676511077,,,,,,,,,,,,,,,,,,,False
J0117+5914,0.10143906648239018,5.849954549965026e-15,9.85813488508,-5.685151e-13,49.42068,779522843024.6107,7.485699775312391e+21,2.2125673382531884e+35,,simple_power_law,0.8166391732861215669,102.5,1408.0,8,True,21.67423548580265,1.261019322141006,64.27989453017949,6.4414989773218725,13.323958617078935,0.917210762575608,0.022418953702482963,0.005863187102752793,0.004647008423914684,0.0015062863035261128,274738.0359122891,-2.2703447835938566,0.09291798028296361,0.007795205489772453,0.0005415715186252159,,,,,,,,,,,,,,,,,,,False
J0133-6957,0.463473741703,1.2e-16,2.157619537032614,-5.586386479901797e-16,22.948,238645455394.53424,2.185830078446136e+23,4.758450770965691e+31,,high_frequency_cut_off_power_law,0.99965490417219671215,154.24,1400.0,5,False,44.21245820421217,1.0764480185123022,11.002098787129011,3.799504762483688,8.57285598440516,2.02893691721269,0.0,0.0,0.0,0.0,61194152.610755146,-0.18033092273481185,0.16947221199241327,0.01002290681346359,0.001749061805012166,,,,,,,1431479011.6503947,5880326.680945516,,,,,,,,,,,True
J0134-2937,0.13696161051365074,7.836990207406537e-17,7.30131601293,-4.177838e-15,21.806,104839286700.90118,2.478040769968477e+21,1.2042384185524356e+33,,simple_power_law,0.9896158093413249812,154.24,1360.0,6,True,4399.592817643596,2729.3702493287906,10.229952404023281,2.4235960786192003,7.855031452563135,1.276179898981047,2.6883670912666866,1.1878162648910202,2.0642528160375817,1.145869233837017,27689530.20386401,-0.3811104754203412,0.1712718156883856,0.006685288183818544,0.000993942982741821,,,,,,,,,,,,,,,,,,,True
J0139+5621,1.7753438259574654,7.909588303523702e-14,0.56327117338,-2.50951e-14,101.842,11991352088392.209,6.1731013129973064e+26,5.580411090729453e+32,,simple_power_law,1.0,135.25,1400.0,4,False,2.7452350400737338,0.1628090286749315,4.316448415066822,1.5231169885859908,0.9042502539155353,0.2410504590498621,0.001588392059475079,0.0011279575045819485,0.000332751323538179,0.0002922142982335814,355626.92328734626,-2.255050744155013,0.25662375453857245,0.0003909059101290716,0.0001023000340804321,,,,,,,,,,,,,,,,,,,False
J0139+5814,0.2724506309501236,1.0711673241495038e-14,3.67038973818,-1.443051e-13,73.81141,1728711596644.4846,3.216427944952245e+23,2.090997910473356e+34,,broken_power_law,0.9289933524835189971,102.5,1606.0,11,False,177.2902597990117,35.055311178578286,146.65839261371696,,41.31672647643539,,0.9989048517869947,,0.407420393910323,,402992.10608342517,,,0.023795501784547007,0.0025272191437706246,349999954.2746423,231735.94939032197,-1.8276617733997127,0.11552836440269354,-1.2938290662912595,0.11927097243153018,,,,,,,,,,,,,False
J0141+6009,1.222948520545672,3.9107029437943967e-16,0.8176959072274,-2.6148e-16,34.926,699812153403.5208,1.1775892591496882e+25,8.440924913651643e+30,,low_frequency_turn_over_power_law,0.89968429381573200576,58.6,1408.0,13,True,212.61852238945917,28.31271239848642,135.00038404337647,6.085088148862944,61.11643852824166,10.727061674102083,0.6355805954640267,0.48324771280535894,0.19819632900084524,0.21423132061565237,49547230.597739644,-1.6826308331124253,0.4738496061841512,0.07789224428583194,0.04888022406797429,,,,,,,,,104272621.46039532,15684139.531935677,1.680903916099764,1.7057516521764648,,,,,,,False
